Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Hargrave,619,France,Female,42,2,0,1,1,101348.88,1
Hill,608,Spain,Female,41,1,83807.86,0,1,112542.58,0
Onio,502,France,Female,42,8,159660.8,1,0,113931.57,1
Boni,699,France,Female,39,1,0,0,0,93826.63,0
Mitchell,850,Spain,Female,43,2,125510.82,1,1,79084.1,0
Chu,645,Spain,Male,44,8,113755.78,1,0,149756.71,1
Bartlett,822,France,Male,50,7,0,1,1,10062.8,0
Obinna,376,France,Female,29,4,115046.74,1,0,119346.88,1
He,501,France,Male,44,4,142051.07,,1,74940.5,0
H?,684,France,Male,27,2,134603.88,1,1,71725.73,0
Bearce,528,France,Male,31,6,102016.72,0,0,80181.12,0
Andrews,497,Spain,Male,24,3,0,1,0,76390.01,0
Kay,476,France,Female,34,,0,1,0,26260.98,0
Chin,549,France,Female,25,5,0,0,0,190857.79,0
Scott,635,Spain,Female,35,7,0,1,1,65951.65,0
Goforth,616,France,Male,45,3,143129.41,,1,64327.26,0
Romeo,653,France,Male,58,1,132602.88,1,0,5097.67,1
Henderson,549,Spain,Female,24,9,0,1,1,14406.41,0
Muldrow,587,Spain,,45,6,0,0,0,158684.81,0
Hao,726,France,Female,24,6,0,1,1,54724.03,0
McDonald,732,France,Male,41,8,0,1,1,170886.17,0
Dellucci,636,Spain,Female,32,8,0,1,0,138555.46,0
Gerasimov,510,Spain,Female,38,4,0,1,0,118913.53,1
Mosman,669,France,Male,46,3,0,0,1,8487.75,0
Yen,846,France,,38,5,0,1,1,187616.16,0
Maclean,577,France,Male,25,3,0,0,1,124508.29,0
Young,756,France,Male,36,2,136815.64,1,1,170041.95,0
Nebechi,571,France,Male,44,9,0,0,0,38433.35,0
McWilliams,574,France,Female,43,3,,1,1,100187.43,0
Lucciano,411,France,Male,29,0,,1,1,53483.21,0
Azikiwe,591,Spain,Female,39,3,0,1,0,140469.38,1
Odinakachukwu,533,France,Male,36,7,85311.7,0,1,156731.91,0
Sanderson,553,France,Male,,9,110112.54,0,0,81898.81,0
